OrderID,OrderDate,ShippingDate,ShippingMode,CustomerID,Sales,Profit,Discount
AG-2012-3190,05/19/12,05/24/12,Standard Class,SZ-10035,16.53,0.0,0.2
AG-2012-4060,03/19/12,03/21/12,First Class,LM-7065,11.31,0.0,0.2
AG-2012-4630,05/28/12,05/30/12,Second Class,CP-2340,17.88,0.0,0.2
AG-2012-4750,12/10/12,12/14/12,Standard Class,LM-7065,468.6,0.0,0.2
AG-2012-4910,11/16/12,11/22/12,Standard Class,KF-6285,29.49,0.0,0.2
AG-2012-5400,01/05/12,01/05/12,Same Day,RB-9570,13.59,0.0,0.2
AG-2012-6020,08/20/12,08/24/12,Standard Class,DC-3285,172.53,0.0,0.2
AG-2012-6390,11/26/12,11/30/12,Standard Class,GH-4410,16.71,0.0,0.2
AG-2012-7530,08/08/12,08/14/12,Standard Class,AA-480,110.1,0.0,0.2
AG-2012-8490,09/18/12,09/23/12,Standard Class,LC-7050,27.45,0.0,0.2
AG-2012-8660,08/09/12,08/13/12,Standard Class,MP-7470,17.52,0.0,0.2
AG-2013-2580,06/11/13,06/15/13,Standard Class,KE-6420,221.4,0.0,0.2
AG-2013-2690,09/07/13,09/10/13,Second Class,CP-2085,52.56,0.0,0.2
AG-2013-2840,05/21/13,05/24/13,First Class,CS-1860,146.76,0.0,0.2
AG-2013-2970,04/26/13,05/01/13,Standard Class,CM-2160,43.05,0.0,0.2
AG-2013-3970,08/24/13,08/28/13,Standard Class,RD-9585,25.23,0.0,0.2
AG-2013-4150,07/18/13,07/21/13,Second Class,DB-3270,44.7,0.0,0.2
AG-2013-5140,03/08/13,03/11/13,First Class,HF-4995,246.21,0.0,0.2
AG-2013-5250,04/02/13,04/06/13,Standard Class,AG-765,166.83,0.0,0.2
AG-2013-5570,05/01/13,05/03/13,First Class,AH-75,48.6,0.0,0.2
AG-2013-5820,11/05/13,11/08/13,First Class,ES-4080,29.49,0.0,0.2
AG-2013-6090,03/14/13,03/18/13,Standard Class,RD-9585,46.32,0.0,0.2
AG-2013-640,08/23/13,08/27/13,Second Class,BO-1425,12.36,0.0,0.2
AG-2013-6520,02/04/13,02/09/13,Standard Class,ML-7395,22.8,0.0,0.2
AG-2013-6630,12/10/13,12/12/13,First Class,LW-7125,435.99,0.0,0.2
AG-2013-6810,07/10/13,07/12/13,Second Class,NF-8595,116.31,0.0,0.2
AG-2013-7890,08/26/13,08/29/13,Second Class,DJ-3510,4203.84,0.0,0.2
AG-2013-8490,08/30/13,09/02/13,Second Class,SK-9990,51.78,0.0,0.2
AG-2013-8990,09/12/13,09/14/13,First Class,RB-9645,147.3,0.0,0.2
AG-2013-9570,02/04/13,02/09/13,Standard Class,AR-345,31.95,0.0,0.2
AG-2013-9890,09/30/13,10/04/13,Standard Class,BT-1485,165.12,0.0,0.2
AG-2014-2040,01/01/14,01/06/14,Standard Class,CR-2730,106.92,0.0,0.2
AG-2014-2110,12/30/14,01/04/15,Second Class,TB-11250,828.48,0.0,0.2
AG-2014-2230,10/27/14,10/31/14,Second Class,DK-3225,71.52,0.0,0.2
AG-2014-2280,12/25/14,01/01/15,Standard Class,MS-7980,53.73,0.0,0.2
AG-2014-2360,01/01/14,01/06/14,Standard Class,JE-5475,19.35,0.0,0.2
AG-2014-2600,11/18/14,11/20/14,Second Class,DR-2940,29.73,0.0,0.2
AG-2014-2760,06/09/14,06/13/14,Standard Class,CL-2565,10.77,0.0,0.2
AG-2014-2830,08/01/14,08/04/14,Second Class,MO-7800,49.86,0.0,0.2
AG-2014-3130,11/01/14,11/04/14,Second Class,CC-2100,963.36,0.0,0.2
AG-2014-3510,11/06/14,11/07/14,First Class,CR-2820,79.92,0.0,0.2
AG-2014-3710,01/24/14,01/29/14,Second Class,IL-5100,48.09,0.0,0.2
AG-2014-4280,12/04/14,12/10/14,Standard Class,RD-9660,327.12,0.0,0.2
AG-2014-4290,06/30/14,07/05/14,Standard Class,RC-9960,8064.0,0.0,0.2
AG-2014-4590,06/24/14,06/24/14,Same Day,AM-360,73.26,0.0,0.2
AG-2014-4720,12/27/14,12/31/14,Standard Class,RO-9780,14.97,0.0,0.2
AG-2014-4840,08/20/14,08/25/14,Standard Class,CD-2790,13.26,0.0,0.2
AG-2014-4880,06/12/14,06/14/14,Second Class,RS-9420,4.8,0.0,0.2
AG-2014-5620,08/14/14,08/20/14,Standard Class,LD-6855,76.32,0.0,0.2
AG-2014-6170,05/20/14,05/24/14,Standard Class,SL-10155,22.29,0.0,0.2
AG-2014-6310,01/24/14,01/30/14,Standard Class,JG-5160,13.29,0.0,0.2
AG-2014-6470,01/13/14,01/15/14,First Class,PO-8865,17.49,0.0,0.2
AG-2014-6650,03/02/14,03/07/14,Standard Class,AC-420,4.89,0.0,0.2
AG-2014-7430,08/05/14,08/10/14,Standard Class,HR-4830,16.53,0.0,0.2
AG-2014-7490,07/23/14,07/28/14,Standard Class,RD-9930,26.37,0.0,0.2
AG-2014-7770,03/07/14,03/12/14,Standard Class,JO-5550,400.8,0.0,0.2
AG-2014-8040,03/31/14,04/02/14,Second Class,BD-1605,491.52,0.0,0.2
AG-2014-8240,03/12/14,03/16/14,Standard Class,AR-570,246.84,0.0,0.2
AG-2014-8390,05/27/14,05/30/14,Second Class,CR-2820,39.39,0.0,0.2
AG-2014-8600,01/22/14,01/27/14,Standard Class,SB-10170,26.67,0.0,0.2
AG-2014-8620,02/11/14,02/17/14,Standard Class,DS-3180,5.04,0.0,0.2
AG-2014-8710,01/29/14,02/03/14,Standard Class,CA-2310,368.64,0.0,0.2
AG-2014-8930,09/12/14,09/16/14,Second Class,CC-2220,15.84,0.0,0.2
AG-2014-9060,12/27/14,01/01/15,Standard Class,YS-11880,641.28,0.0,0.2
AG-2014-9240,11/07/14,11/10/14,First Class,JL-5835,49.92,0.0,0.2
AG-2014-9430,06/12/14,06/18/14,Standard Class,DL-2865,10.32,0.0,0.2
AJ-2011-4230,12/30/11,01/05/12,Standard Class,JH-5820,24.45,0.0,0.2
AJ-2011-4420,06/08/11,06/08/11,Same Day,TC-10980,12.69,0.0,0.2
AJ-2011-4460,02/23/11,02/23/11,Same Day,CM-1935,49.32,0.0,0.2
AJ-2011-7680,09/14/11,09/20/11,Standard Class,RP-9270,137.88,0.0,0.2
AJ-2012-7450,09/25/12,09/30/12,Standard Class,GM-4680,52.8,0.0,0.2
AJ-2012-7720,11/02/12,11/05/12,First Class,SG-10890,254.16,0.0,0.2
AJ-2013-1340,06/02/13,06/04/13,Second Class,JR-5700,51.63,0.0,0.2
AJ-2013-1760,08/14/13,08/14/13,Same Day,CA-2310,141.33,0.0,0.2
AJ-2013-180,08/07/13,08/11/13,Second Class,NC-8340,59.52,0.0,0.2
AJ-2013-2640,01/23/13,01/27/13,Standard Class,JL-5835,8232.0,0.0,0.2
AJ-2013-3610,01/10/13,01/12/13,Second Class,GZ-4545,10.08,0.0,0.2
AJ-2013-8630,01/07/13,01/12/13,Standard Class,DC-3285,7.62,0.0,0.2
AJ-2014-1760,09/11/14,09/16/14,Standard Class,MS-7365,133.2,0.0,0.2
AJ-2014-5740,10/23/14,10/28/14,Standard Class,LW-6825,50.46,0.0,0.2
AJ-2014-6170,09/16/14,09/18/14,Second Class,SH-9975,29.76,0.0,0.2
AJ-2014-6800,12/27/14,01/01/15,Standard Class,DR-2880,47.49,0.0,0.2
AJ-2014-8550,02/24/14,03/01/14,Standard Class,GM-4440,66.72,0.0,0.2
AJ-2014-9020,09/13/14,09/19/14,Standard Class,RD-9720,53.91,0.0,0.2
AJ-2014-9550,08/30/14,09/04/14,Second Class,GG-4650,47.4,0.0,0.2
AJ-2014-9620,12/30/14,12/30/14,Same Day,DJ-3420,631.2,0.0,0.2
AL-2011-4500,11/01/11,11/05/11,Standard Class,EM-3825,15.75,0.0,0.2
AL-2011-7440,03/03/11,03/05/11,Second Class,SC-10230,16191.0,0.0,0.2
AL-2011-9500,11/08/11,11/11/11,Second Class,MC-8130,11.28,0.0,0.2
AL-2012-8670,04/24/12,04/30/12,Standard Class,ML-7395,6.45,0.0,0.2
AL-2012-9220,04/19/12,04/24/12,Standard Class,JD-5895,58.17,0.0,0.2
AL-2012-9980,07/28/12,08/02/12,Standard Class,JD-6015,414.03,0.0,0.2
AL-2013-3830,08/12/13,08/14/13,First Class,TT-11460,2215.68,0.0,0.2
AL-2013-7280,04/20/13,04/20/13,Same Day,GA-4515,182.07,0.0,0.2
AL-2013-7420,12/20/13,12/25/13,Standard Class,NC-8535,85.26,0.0,0.2
AL-2014-8450,03/10/14,03/12/14,Second Class,JB-5925,18.75,0.0,0.2
AM-2011-7110,12/14/11,12/19/11,Standard Class,HM-4980,42.06,0.0,0.2
AM-2013-2480,04/17/13,04/23/13,Standard Class,MG-7695,20.49,0.0,0.2
AO-2011-1390,02/01/11,02/04/11,Second Class,DK-3150,206.4,0.0,0.2
AO-2011-1670,01/08/11,01/13/11,Standard Class,HZ-4950,14871.6,0.0,0.2
AO-2011-1710,02/03/11,02/10/11,Standard Class,SW-10455,18.12,0.0,0.2
AO-2011-4780,10/10/11,10/14/11,Standard Class,BS-1800,1763.52,0.0,0.2
AO-2011-4910,01/06/11,01/11/11,Standard Class,GK-4620,28.32,0.0,0.2
AO-2011-7110,06/21/11,06/25/11,Standard Class,AA-480,47.4,0.0,0.2
AO-2011-8000,12/15/11,12/19/11,Standard Class,JK-5370,27.39,0.0,0.2
AO-2011-8260,07/16/11,07/20/11,Standard Class,RO-9780,14.55,0.0,0.2
AO-2011-8430,01/20/11,01/20/11,Same Day,MA-7995,48.0,0.0,0.2
AO-2011-9910,12/05/11,12/12/11,Standard Class,RP-9855,114.24,0.0,0.2
AO-2012-1000,12/03/12,12/07/12,Standard Class,DK-3225,80.46,0.0,0.2
AO-2012-1220,01/23/12,01/26/12,First Class,DL-3495,147.3,0.0,0.2
AO-2012-1230,11/15/12,11/20/12,Standard Class,DH-3075,45.72,0.0,0.2
AO-2012-2480,06/13/12,06/18/12,Standard Class,MG-8205,52.92,0.0,0.2
AO-2012-2650,12/20/12,12/25/12,Standard Class,SF-10200,1791.72,0.0,0.2
AO-2012-2750,08/09/12,08/14/12,Standard Class,CA-2310,4.8,0.0,0.2
AO-2012-2810,09/29/12,10/01/12,Second Class,HJ-4875,14.7,0.0,0.2
AO-2012-3210,09/27/12,10/02/12,Standard Class,JE-5745,207.33,0.0,0.2
AO-2012-5450,11/12/12,11/12/12,Same Day,LH-6900,636.15,0.0,0.2
AO-2012-6670,09/20/12,09/25/12,Standard Class,MO-7500,40.98,0.0,0.2
AO-2012-7800,07/21/12,07/24/12,First Class,JC-5340,852.48,0.0,0.2
AO-2012-7980,12/20/12,12/24/12,Standard Class,RD-9585,263.73,0.0,0.2
AO-2012-8920,12/04/12,12/08/12,Standard Class,CC-2475,128.37,0.0,0.2
AO-2013-1140,11/21/13,11/27/13,Standard Class,LW-7125,652.68,0.0,0.2
AO-2013-1470,12/10/13,12/16/13,Standard Class,RE-9405,56.76,0.0,0.2
AO-2013-1640,10/25/13,10/29/13,Second Class,IG-5085,48.45,0.0,0.2
AO-2013-2100,06/05/13,06/09/13,Standard Class,AS-285,14.37,0.0,0.2
AO-2013-2180,11/14/13,11/18/13,Standard Class,LC-6960,169.2,0.0,0.2
AO-2013-2230,05/28/13,06/02/13,Standard Class,JK-6090,5.04,0.0,0.2
AO-2013-2380,03/28/13,04/01/13,Standard Class,CM-2655,375.36,0.0,0.2
AO-2013-3830,10/30/13,11/05/13,Standard Class,SC-10305,32.64,0.0,0.2
AO-2013-4310,10/30/13,11/04/13,Second Class,CW-1905,47.34,0.0,0.2
AO-2013-6050,12/10/13,12/15/13,Standard Class,JP-5460,56.58,0.0,0.2
AO-2013-6140,12/27/13,12/31/13,Second Class,BP-1290,390.96,0.0,0.2
AO-2013-6910,12/31/13,01/03/14,First Class,JH-5985,3393.6,0.0,0.2
AO-2013-7170,08/12/13,08/17/13,Standard Class,HG-4845,46.32,0.0,0.2
AO-2013-7370,11/13/13,11/17/13,Standard Class,MM-7920,8.79,0.0,0.2
AO-2013-9250,12/06/13,12/10/13,Standard Class,GM-4500,11735.04,0.0,0.2
AO-2014-1550,04/11/14,04/13/14,Second Class,SC-10020,48.0,0.0,0.2
AO-2014-190,12/05/14,12/11/14,Standard Class,RW-9540,13.98,0.0,0.2
AO-2014-2110,10/17/14,10/22/14,Second Class,EP-3915,137.28,0.0,0.2
AO-2014-2160,05/20/14,05/24/14,Standard Class,LC-7050,108.36,0.0,0.2
AO-2014-2270,05/28/14,06/04/14,Standard Class,BD-1725,7508.64,0.0,0.2
AO-2014-2460,11/06/14,11/11/14,Standard Class,LM-7065,3182.4,0.0,0.2
AO-2014-2730,09/25/14,09/30/14,Standard Class,JF-5415,4.89,0.0,0.2
AO-2014-4190,11/22/14,11/26/14,Standard Class,DR-2940,117.6,0.0,0.2
AO-2014-420,11/18/14,11/19/14,First Class,DV-3465,50.04,0.0,0.2
AO-2014-4830,08/31/14,09/03/14,Second Class,JM-5655,48.93,0.0,0.2
AO-2014-5290,12/10/14,12/16/14,Standard Class,RM-9375,15.57,0.0,0.2
AO-2014-5450,02/19/14,02/23/14,Standard Class,DC-2850,18.66,0.0,0.2
AO-2014-5560,04/12/14,04/16/14,Standard Class,TB-11355,28.35,0.0,0.2
AO-2014-620,08/25/14,08/30/14,Standard Class,AZ-750,26.1,0.0,0.2
AO-2014-650,09/11/14,09/11/14,Same Day,LC-6930,60.72,0.0,0.2
AO-2014-6780,01/13/14,01/18/14,Standard Class,SK-9990,7.26,0.0,0.2
AO-2014-6900,08/15/14,08/22/14,Standard Class,AJ-945,77.16,0.0,0.2
AO-2014-7730,12/31/14,01/04/15,Standard Class,KL-6645,760.32,0.0,0.2
AO-2014-7960,08/07/14,08/10/14,Second Class,BE-1455,166.89,0.0,0.2
AO-2014-8210,11/04/14,11/08/14,Standard Class,KD-6345,774.72,0.0,0.2
AO-2014-8250,09/18/14,09/24/14,Standard Class,GM-4500,13.68,0.0,0.2
AO-2014-9370,05/27/14,06/01/14,Second Class,AH-585,13.23,0.0,0.2
AU-2011-0,09/02/11,09/02/11,Same Day,AG-675,922.95,0.0,0.2
AU-2011-3990,03/28/11,04/02/11,Standard Class,LR-7035,28.23,0.0,0.2
AU-2011-4210,05/05/11,05/09/11,Second Class,PM-8940,24.0,0.0,0.2
AU-2011-5790,04/20/11,04/24/11,Second Class,BS-1590,109.95,0.0,0.2
AU-2011-790,08/18/11,08/22/11,Standard Class,DS-3030,7.8,0.0,0.2
AU-2011-9050,07/29/11,08/03/11,Standard Class,JL-5130,16.02,0.0,0.2
AU-2012-1790,06/11/12,06/16/12,Standard Class,EH-4185,137.16,0.0,0.2
AU-2012-4970,12/22/12,12/28/12,Standard Class,AM-360,524.4,0.0,0.2
AU-2012-5610,12/21/12,12/24/12,First Class,SV-10815,15.15,0.0,0.2
AU-2012-6590,04/12/12,04/14/12,Second Class,SK-9990,53.46,0.0,0.2
AU-2012-7410,07/16/12,07/20/12,Standard Class,LA-6780,532.8,0.0,0.2
AU-2012-940,06/12/12,06/16/12,Standard Class,LB-6795,6842.88,0.0,0.2
AU-2012-9900,10/29/12,11/01/12,First Class,GM-4500,196.98,0.0,0.2
AU-2013-2590,09/26/13,09/26/13,Same Day,AC-615,48.96,0.0,0.2
AU-2013-3370,03/28/13,04/01/13,Standard Class,JM-5580,229.56,0.0,0.2
AU-2013-3750,07/05/13,07/11/13,Standard Class,AG-495,8.4,0.0,0.2
AU-2013-6380,03/14/13,03/19/13,Standard Class,LE-6810,29.28,0.0,0.2
AU-2013-6980,03/26/13,03/29/13,Second Class,SN-10710,45.72,0.0,0.2
AU-2013-8150,08/20/13,08/22/13,First Class,MO-7500,195.48,0.0,0.2
AU-2013-9620,04/15/13,04/19/13,Standard Class,AH-585,174.33,0.0,0.2
AU-2013-9920,10/22/13,10/29/13,Standard Class,CK-2325,444.96,0.0,0.2
AU-2014-1430,06/26/14,06/29/14,Second Class,PF-9120,16.68,0.0,0.2
AU-2014-1530,09/03/14,09/09/14,Standard Class,FM-4215,1024.56,0.0,0.2
AU-2014-1900,07/02/14,07/07/14,Second Class,BT-1680,193.2,0.0,0.2
AU-2014-3670,12/17/14,12/22/14,Standard Class,DA-3450,10078.32,0.0,0.2
AU-2014-6170,02/17/14,02/20/14,Second Class,DH-3675,498.36,0.0,0.2
AU-2014-6560,08/27/14,08/31/14,Standard Class,MD-7860,6.75,0.0,0.2
AU-2014-6650,11/26/14,11/30/14,Standard Class,EB-3975,24.78,0.0,0.2
AU-2014-7090,03/20/14,03/26/14,Standard Class,SU-10665,170.19,0.0,0.2
AU-2014-800,07/14/14,07/16/14,First Class,GB-4530,58.2,0.0,0.2
AU-2014-8900,03/26/14,03/31/14,Second Class,DD-3570,52.8,0.0,0.2
AU-2014-8970,09/08/14,09/12/14,Standard Class,AG-765,13.95,0.0,0.2
AU-2014-9620,08/26/14,09/02/14,Standard Class,CA-1965,1379.04,0.0,0.2
AU-2014-970,08/04/14,08/09/14,Standard Class,MK-7905,56.76,0.0,0.2
BA-2013-8930,09/20/13,09/22/13,Second Class,ES-4080,1250.04,0.0,0.2
BK-2011-6660,12/02/11,12/07/11,Standard Class,EB-3750,2793.6,0.0,0.2
BK-2012-7820,03/21/12,03/26/12,Standard Class,CM-2655,48.96,0.0,0.2
BK-2012-9590,08/06/12,08/10/12,Second Class,NW-8400,40.05,0.0,0.2
BK-2013-5970,06/21/13,06/26/13,Standard Class,GT-4710,353.76,0.0,0.2
BK-2014-2410,02/12/14,02/12/14,Same Day,PG-8820,57.87,0.0,0.2
BK-2014-2770,12/05/14,12/09/14,Standard Class,ML-7755,372.0,0.0,0.2
BK-2014-5210,08/20/14,08/26/14,Standard Class,ME-7320,1870.08,0.0,0.2
BK-2014-7550,02/11/14,02/15/14,Standard Class,RS-9870,47.1,0.0,0.2
BN-2011-1530,01/29/11,02/04/11,Standard Class,NB-8655,43.92,0.0,0.2
BN-2011-2460,09/21/11,09/26/11,Standard Class,DO-3435,56.82,0.0,0.2
BN-2011-2620,04/28/11,05/02/11,Standard Class,BS-1590,11.55,0.0,0.2
BN-2011-4470,11/04/11,11/08/11,Standard Class,RW-9630,118.68,0.0,0.2
BN-2011-6760,09/21/11,09/22/11,First Class,JK-5205,1241.28,0.0,0.2
BN-2012-3640,11/19/12,11/23/12,Standard Class,AS-225,13.68,0.0,0.2
BN-2012-5720,09/07/12,09/10/12,First Class,HZ-4950,20.19,0.0,0.2
BN-2012-6200,06/29/12,07/03/12,Standard Class,CC-2670,17.04,0.0,0.2
BN-2012-8190,04/16/12,04/21/12,Standard Class,AA-375,54.12,0.0,0.2
BN-2013-2680,12/30/13,01/03/14,Standard Class,BP-1095,507.84,0.0,0.2
BN-2013-570,08/02/13,08/06/13,Second Class,SW-10455,53.7,0.0,0.2
BN-2013-6580,11/28/13,12/01/13,First Class,KD-6495,16.44,0.0,0.2
BN-2013-9270,09/22/13,09/27/13,Standard Class,KB-6315,30.48,0.0,0.2
BN-2013-9770,08/26/13,08/30/13,Second Class,CY-2745,7.14,0.0,0.2
BN-2014-1970,02/28/14,03/04/14,Standard Class,TB-11355,17.52,0.0,0.2
BN-2014-2740,12/10/14,12/14/14,Standard Class,AS-90,26.67,0.0,0.2
BN-2014-4710,06/03/14,06/07/14,Second Class,RS-9420,49.86,0.0,0.2
BN-2014-4860,09/04/14,09/09/14,Standard Class,TS-11430,48.66,0.0,0.2
BN-2014-4920,09/19/14,09/23/14,Standard Class,TP-11565,6.03,0.0,0.2
BN-2014-5090,06/13/14,06/16/14,Second Class,MB-7305,475.2,0.0,0.2
BN-2014-8500,02/10/14,02/14/14,Standard Class,TH-11115,319.98,0.0,0.2
BN-2014-9200,11/27/14,12/03/14,Standard Class,PF-9165,11.76,0.0,0.2
BN-2014-9930,03/09/14,03/09/14,Same Day,GH-4410,39.36,0.0,0.2
BO-2011-470,08/12/11,08/14/11,Second Class,SS-10590,28.68,0.0,0.2
BO-2011-6900,08/29/11,09/03/11,Standard Class,DK-2835,31.95,0.0,0.2
BO-2011-7760,11/21/11,11/26/11,Second Class,RB-9570,19.29,0.0,0.2
BO-2011-9310,08/27/11,09/02/11,Standard Class,ES-4020,88.2,0.0,0.2
BO-2012-2360,08/16/12,08/20/12,Standard Class,GH-4410,62.07,0.0,0.2
BO-2012-4390,09/11/12,09/17/12,Standard Class,JK-5730,169.68,0.0,0.2
BO-2012-5160,09/06/12,09/08/12,First Class,CS-2175,311.85,0.0,0.2
BO-2012-5210,12/14/12,12/18/12,Standard Class,LC-7140,19.2,0.0,0.2
BO-2012-5950,07/23/12,07/30/12,Standard Class,AM-705,20.31,0.0,0.2
BO-2012-6660,03/28/12,04/02/12,Standard Class,DJ-3630,388.68,0.0,0.2
BO-2012-7210,06/08/12,06/12/12,Standard Class,NR-8550,211.65,0.0,0.2
BO-2012-7240,02/01/12,02/05/12,Standard Class,BT-1305,66.24,0.0,0.2
BO-2012-7320,08/22/12,08/27/12,Standard Class,TZ-11445,50.28,0.0,0.2
BO-2012-8820,06/12/12,06/12/12,Same Day,MM-8280,269.76,0.0,0.2
BO-2013-1280,08/08/13,08/12/13,Standard Class,KH-6360,46.77,0.0,0.2
BO-2013-1400,12/11/13,12/18/13,Standard Class,ML-8265,45.84,0.0,0.2
BO-2013-2880,11/08/13,11/14/13,Standard Class,KB-6240,45.09,0.0,0.2
BO-2013-3500,06/25/13,06/29/13,Second Class,AF-870,477.12,0.0,0.2
BO-2013-3590,07/17/13,07/19/13,Second Class,HW-4935,123.24,0.0,0.2
BO-2013-3910,07/09/13,07/12/13,Second Class,PO-9180,8.31,0.0,0.2
BO-2013-8060,11/06/13,11/08/13,Second Class,PJ-8835,114.72,0.0,0.2
BO-2013-9400,11/15/13,11/15/13,Same Day,RD-9660,105.72,0.0,0.2
BO-2014-1160,09/19/14,09/21/14,Second Class,DL-3315,6.72,0.0,0.2
BO-2014-1510,06/03/14,06/09/14,Standard Class,PB-9105,7.83,0.0,0.2
BO-2014-170,06/25/14,07/01/14,Standard Class,TC-11145,18.84,0.0,0.2
BO-2014-1930,09/08/14,09/15/14,Standard Class,JF-5490,14.7,0.0,0.2
BO-2014-2490,08/06/14,08/10/14,Standard Class,VG-11790,48.0,0.0,0.2
BO-2014-2640,08/08/14,08/09/14,First Class,TW-11025,10.32,0.0,0.2
BO-2014-2670,09/29/14,10/05/14,Standard Class,KA-6525,29.01,0.0,0.2
BO-2014-4120,12/25/14,12/27/14,Second Class,LC-7050,10.74,0.0,0.2
BO-2014-5570,02/07/14,02/14/14,Standard Class,DS-3030,9586.08,0.0,0.2
BO-2014-5730,06/26/14,06/29/14,Second Class,ME-7320,50.73,0.0,0.2
BO-2014-620,01/10/14,01/15/14,Standard Class,DB-2910,10.77,0.0,0.2
BO-2014-6700,06/06/14,06/10/14,Standard Class,CD-2790,17.64,0.0,0.2
BO-2014-8490,12/11/14,12/11/14,Same Day,EB-4110,12.69,0.0,0.2
BO-2014-8690,03/28/14,04/01/14,Second Class,MS-7980,17.88,0.0,0.2
BO-2014-8960,02/11/14,02/15/14,Second Class,MZ-7335,16546.68,0.0,0.2
BO-2014-9040,03/02/14,03/07/14,Second Class,TS-11655,18.84,0.0,0.2
BO-2014-9070,07/08/14,07/15/14,Standard Class,TW-11025,77.52,0.0,0.2
BO-2014-9240,06/05/14,06/08/14,Second Class,AA-315,1513.2,0.0,0.2
BO-2014-9490,06/17/14,06/20/14,First Class,PB-9150,46.74,0.0,0.2
BO-2014-9810,07/15/14,07/19/14,Standard Class,ML-7410,7.95,0.0,0.2
BU-2011-1220,08/06/11,08/08/11,Second Class,ME-7725,18.93,0.0,0.2
BU-2011-2880,12/23/11,12/29/11,Standard Class,EH-3945,638.91,0.0,0.2
BU-2011-5160,07/25/11,08/01/11,Standard Class,HR-4770,14.22,0.0,0.2
BU-2011-5830,05/10/11,05/17/11,Standard Class,VS-11820,23.91,0.0,0.2
BU-2011-7450,11/07/11,11/09/11,Second Class,DE-3255,2545.2,0.0,0.2
BU-2012-1110,11/15/12,11/15/12,Same Day,EK-3795,48.45,0.0,0.2
BU-2012-1740,09/03/12,09/07/12,Standard Class,MH-7455,124.8,0.0,0.2
BU-2012-2320,11/01/12,11/05/12,Standard Class,PC-8745,3.99,0.0,0.2
BU-2012-360,11/27/12,12/03/12,Standard Class,MT-8070,171.0,0.0,0.2
BU-2012-4360,11/20/12,11/21/12,First Class,JC-5340,14.49,0.0,0.2
BU-2012-460,07/21/12,07/25/12,Standard Class,AH-30,17.34,0.0,0.2
BU-2012-7140,06/20/12,06/25/12,Standard Class,RM-9375,47.55,0.0,0.2
BU-2012-7980,01/23/12,01/25/12,Second Class,RD-9720,76.56,0.0,0.2
